uniqueID,Ha,pHa,La,Hb,pHb,Lb,LotShapeB,LotNumB,Amb,Corr,Feedback,Block
i0-p1,26,0.95,-1,23,0.05,21,0,1,False,0,True,2
i1-p2,14,0.6,-18,8,0.25,-5,0,1,True,-1,True,4
i2-p3,2,0.5,0,1,1.0,1,0,1,False,0,True,4
i3-p4,37,0.05,8,87,0.25,-31,1,2,False,0,True,3
i4-p5,26,1.0,26,45,0.75,-36,2,5,False,0,False,1
i5-p6,28,1.0,28,33,0.01,28,2,3,True,0,True,4
i6-p7,-6,1.0,-6,24,0.2,-5,1,2,False,0,False,1
i7-p7,-6,1.0,-6,24,0.2,-5,1,2,False,0,True,3
i8-p8,27,1.0,27,89,0.5,-24,0,1,False,0,False,1
i9-p8,27,1.0,27,89,0.5,-24,0,1,False,0,True,2
i10-p9,94,0.25,-38,-8,0.05,-9,3,3,False,0,True,3
i11-p10,1,1.0,1,59,0.05,0,0,1,True,0,False,1
i12-p10,1,1.0,1,59,0.05,0,0,1,True,0,True,4
i13-p11,-4,1.0,-4,38,0.1,-5,1,6,False,0,True,4
i14-p12,-3,1.0,-3,-2,0.99,-13,2,7,True,0,True,3
i15-p13,9,1.0,9,48,0.05,7,0,1,False,0,True,2
i16-p14,14,0.5,12,42,0.1,14,3,4,False,0,True,2
i17-p15,42,0.5,-34,8,0.2,7,0,1,False,0,True,4
i18-p16,35,0.4,-13,33,0.6,-43,1,6,False,0,True,4
i19-p17,-5,1.0,-5,23,0.01,-13,1,6,False,0,False,1
i20-p18,2,1.0,2,48,0.4,-8,0,1,True,0,True,3
i21-p19,6,1.0,6,17,0.01,3,0,1,False,0,True,3
i22-p20,0,1.0,0,63,0.25,-27,0,1,False,0,False,1
i23-p21,-9,1.0,-9,36,0.01,-2,2,4,True,0,False,1
i24-p22,24,1.0,24,72,0.4,-12,0,1,False,0,True,5
i25-p23,15,1.0,15,39,0.6,-25,0,1,False,0,True,5
i26-p24,-7,1.0,-7,67,0.25,-26,2,3,True,0,True,2
i27-p25,21,1.0,21,99,0.4,-30,1,4,True,0,False,1
i28-p25,21,1.0,21,99,0.4,-30,1,4,True,0,True,5
i29-p26,8,1.0,8,54,0.05,5,0,1,False,0,True,5
i30-p27,-3,0.2,-12,-5,0.6,-18,1,4,False,0,False,1
i31-p28,12,1.0,12,32,0.5,-28,1,4,False,0,True,2
i32-p29,30,0.5,12,34,0.05,27,0,1,False,0,False,1
i33-p29,30,0.5,12,34,0.05,27,0,1,False,0,True,3
i34-p30,6,0.5,-2,18,0.75,-35,2,5,False,0,False,1
i35-p30,6,0.5,-2,18,0.75,-35,2,5,False,0,True,4
i36-p31,-8,0.9,-27,64,0.25,-40,1,4,False,1,False,1
i37-p31,-8,0.9,-27,64,0.25,-40,1,4,False,1,True,2
